muestra,tiempo_min,T_guadua,H_guadua,T_plastico,H_plastico,T_ambiente,H_ambiente
1,0,0.6,0.0,0.8,55.0,-2.4,10.0
2,1,24.1,55.0,25.5,60.0,20.1,63.0
3,2,24.3,55.0,25.9,60.0,20.1,63.0
4,3,24.2,55.0,25.1,60.0,20.1,63.0
5,4,24.4,55.0,25.2,60.0,20.0,63.0
6,5,24.3,55.0,25.4,60.0,20.4,63.0
7,6,24.1,54.0,25.7,60.0,20.7,63.0
8,7,24.1,54.0,25.9,60.0,20.3,63.0
9,8,24.3,54.0,25.2,60.0,19.7,64.0
10,9,24.9,54.0,25.3,60.0,19.2,64.0
11,10,24.7,54.0,25.0,60.0,19.2,65.0
12,11,24.1,54.0,25.7,60.0,19.4,65.0
13,12,23.3,55.0,25.0,60.0,19.5,65.0
14,13,23.7,55.0,25.4,60.0,19.5,65.0
15,14,23.3,55.0,24.4,60.0,19.0,66.0
16,15,23.6,55.0,24.4,60.0,19.5,66.0
17,16,23.1,55.0,24.0,60.0,19.4,66.0
18,17,23.7,55.0,24.0,60.0,19.0,66.0
19,18,23.8,55.0,24.0,60.0,19.5,67.0
20,19,23.7,55.0,24.4,60.0,19.7,67.0
21,20,23.2,55.0,24.4,60.0,19.9,67.0
22,21,23.6,55.0,24.4,60.0,19.7,67.0
23,22,23.9,55.0,24.3,60.0,19.9,67.0
24,23,23.0,55.0,24.1,60.0,19.4,67.0
25,24,23.7,56.0,24.6,60.0,19.9,67.0
26,25,23.9,55.0,24.9,60.0,19.5,67.0
27,26,23.7,55.0,24.3,60.0,18.5,68.0
28,27,23.3,56.0,24.2,60.0,18.6,68.0
29,28,23.8,55.0,24.1,60.0,18.8,68.0
30,29,23.7,56.0,24.6,60.0,18.9,68.0
31,30,23.6,55.0,24.0,60.0,18.0,68.0
32,31,23.5,56.0,24.0,60.0,18.3,68.0
33,32,23.9,56.0,23.3,60.0,18.4,68.0
34,33,23.3,56.0,23.8,60.0,18.7,68.0
35,34,23.6,56.0,23.3,60.0,18.5,68.0
36,35,23.5,56.0,23.7,60.0,18.5,69.0
37,36,23.8,56.0,23.3,60.0,18.9,69.0
38,37,23.5,56.0,23.9,60.0,18.6,69.0
39,38,23.9,56.0,23.2,60.0,18.3,69.0
40,39,22.4,56.0,23.3,60.0,18.1,69.0
41,40,22.3,56.0,23.8,60.0,18.9,69.0
42,41,22.6,56.0,23.5,60.0,18.0,69.0
43,42,22.4,56.0,23.3,60.0,18.3,69.0
44,43,22.7,57.0,23.0,60.0,18.4,69.0
45,44,22.2,57.0,23.4,60.0,18.6,69.0
46,45,22.8,57.0,23.5,60.0,18.0,69.0
47,46,22.8,57.0,23.2,60.0,18.2,69.0
48,47,22.9,57.0,23.0,60.0,18.8,70.0
49,48,22.0,57.0,23.6,60.0,18.4,70.0
50,49,22.1,57.0,23.3,60.0,18.3,70.0
51,50,22.1,57.0,23.9,60.0,18.1,70.0
52,51,22.5,57.0,23.6,60.0,18.6,71.0
53,52,22.7,57.0,23.4,60.0,18.5,71.0
54,53,22.3,57.0,23.5,60.0,18.0,71.0
55,54,22.4,57.0,23.2,60.0,18.3,71.0
56,55,22.3,57.0,23.5,60.0,18.2,71.0
57,56,22.4,57.0,23.4,60.0,18.6,71.0
58,57,22.5,57.0,23.6,60.0,18.4,71.0
59,58,22.1,58.0,22.7,60.0,18.0,71.0
60,59,22.0,57.0,22.9,60.0,18.2,71.0
61,60,22.6,58.0,22.0,60.0,18.8,71.0
62,61,22.0,57.0,22.8,60.0,18.5,71.0
63,62,22.0,58.0,22.6,60.0,18.0,71.0
64,63,22.0,58.0,22.4,60.0,18.7,72.0
65,64,22.5,58.0,22.6,60.0,18.0,72.0
66,65,22.2,58.0,22.5,60.0,17.0,73.0
67,66,22.5,58.0,22.0,60.0,18.0,72.0
68,67,22.5,58.0,22.7,60.0,18.3,72.0
69,68,22.6,58.0,22.9,60.0,18.4,72.0
70,69,22.4,58.0,22.6,60.0,18.1,72.0
71,70,22.2,58.0,22.3,60.0,18.5,72.0
72,71,22.1,58.0,22.4,60.0,17.7,72.0
73,72,22.5,58.0,22.7,60.0,17.6,73.0
74,73,22.1,58.0,22.8,60.0,17.5,73.0
75,74,22.5,58.0,22.4,60.0,17.0,73.0
76,75,21.8,59.0,22.8,60.0,17.0,73.0
77,76,21.7,59.0,22.5,60.0,17.0,73.0
78,77,21.6,59.0,22.7,60.0,17.3,74.0
79,78,21.7,59.0,22.9,60.0,17.9,74.0
80,79,21.6,59.0,22.5,60.0,17.7,74.0
81,80,21.8,59.0,22.5,60.0,17.0,74.0
82,81,21.9,59.0,22.0,60.0,17.4,74.0
83,82,21.0,59.0,22.8,60.0,17.0,74.0
84,83,21.3,59.0,22.4,60.0,17.4,74.0
85,84,21.7,59.0,22.5,60.0,17.4,74.0
86,85,21.0,59.0,22.7,60.0,17.0,75.0
87,86,21.6,59.0,22.8,60.0,17.1,75.0
88,87,21.5,59.0,21.9,60.0,17.4,75.0
89,88,21.5,60.0,21.1,60.0,17.5,75.0
90,89,21.4,60.0,21.5,60.0,17.8,75.0
91,90,21.0,60.0,21.1,60.0,17.4,75.0
92,91,21.9,60.0,21.2,60.0,17.9,76.0
93,92,21.7,60.0,21.3,60.0,17.8,76.0
94,93,21.3,61.0,21.6,60.0,17.6,77.0
95,94,21.0,61.0,21.3,60.0,16.8,78.0
96,95,21.1,61.0,21.7,60.0,16.8,78.0
97,96,21.2,61.0,21.2,60.0,16.9,78.0
98,97,21.7,61.0,21.3,60.0,16.4,79.0
99,98,21.9,62.0,21.8,60.0,16.2,79.0
100,99,21.7,62.0,21.6,60.0,16.1,79.0
101,100,21.6,62.0,21.8,60.0,16.5,79.0
102,101,21.5,62.0,21.0,60.0,16.2,79.0
103,102,21.9,62.0,21.2,60.0,16.1,79.0
